id_distrito_fecha_hora_trunc;fecha_hora_truncada_accidente;cod_distrito;intensidad_vehiculos
01-2023-01-28 20:00:00;2023-01-28 20:00:00;1;2270.03
01-2023-01-29 01:00:00;2023-01-29 01:00:00;1;1632.46
01-2023-01-29 13:00:00;2023-01-29 13:00:00;1;1945.24
01-2023-01-30 08:00:00;2023-01-30 08:00:00;1;2354.19
01-2023-01-30 15:00:00;2023-01-30 15:00:00;1;2231.87
01-2023-01-30 20:00:00;2023-01-30 20:00:00;1;2057.83
01-2023-01-31 12:00:00;2023-01-31 12:00:00;1;2399.62
01-2023-01-31 17:00:00;2023-01-31 17:00:00;1;2321.23
01-2023-01-31 22:00:00;2023-01-31 22:00:00;1;1374.4
01-2023-02-01 12:00:00;2023-02-01 12:00:00;1;2210.98
01-2023-02-01 13:00:00;2023-02-01 13:00:00;1;2370.53
01-2023-02-01 19:00:00;2023-02-01 19:00:00;1;2480.46
01-2023-02-02 10:00:00;2023-02-02 10:00:00;1;2355.56
01-2023-02-02 15:00:00;2023-02-02 15:00:00;1;2349.25
01-2023-02-03 17:00:00;2023-02-03 17:00:00;1;2372.33
01-2023-02-03 20:00:00;2023-02-03 20:00:00;1;2428.3
01-2023-02-03 21:00:00;2023-02-03 21:00:00;1;2318.74
01-2023-02-03 22:00:00;2023-02-03 22:00:00;1;1916.5
01-2023-02-04 02:00:00;2023-02-04 02:00:00;1;1337.55
01-2023-02-04 05:00:00;2023-02-04 05:00:00;1;890.79
01-2023-02-04 16:00:00;2023-02-04 16:00:00;1;1693.34
01-2023-02-04 22:00:00;2023-02-04 22:00:00;1;1983.08
01-2023-02-04 23:00:00;2023-02-04 23:00:00;1;1750.45
01-2023-02-05 04:00:00;2023-02-05 04:00:00;1;1111.23
01-2023-02-05 06:00:00;2023-02-05 06:00:00;1;948.32
01-2023-02-05 11:00:00;2023-02-05 11:00:00;1;1563.33
01-2023-02-05 12:00:00;2023-02-05 12:00:00;1;1731.89
01-2023-02-06 12:00:00;2023-02-06 12:00:00;1;2296.21
01-2023-02-07 14:00:00;2023-02-07 14:00:00;1;2459.57
01-2023-02-07 18:00:00;2023-02-07 18:00:00;1;2340.83
01-2023-02-07 21:00:00;2023-02-07 21:00:00;1;1765.69
01-2023-02-08 06:00:00;2023-02-08 06:00:00;1;773.88
01-2023-02-08 07:00:00;2023-02-08 07:00:00;1;1919.36
01-2023-02-08 13:00:00;2023-02-08 13:00:00;1;2387.86
01-2023-02-08 15:00:00;2023-02-08 15:00:00;1;2384.1
01-2023-02-08 22:00:00;2023-02-08 22:00:00;1;1462.88
01-2023-02-09 07:00:00;2023-02-09 07:00:00;1;1938.31
01-2023-02-09 17:00:00;2023-02-09 17:00:00;1;2401.18
01-2023-02-10 07:00:00;2023-02-10 07:00:00;1;1868.15
01-2023-02-10 12:00:00;2023-02-10 12:00:00;1;2433.51
01-2023-02-10 14:00:00;2023-02-10 14:00:00;1;2638.13
01-2023-02-10 16:00:00;2023-02-10 16:00:00;1;2372.44
01-2023-02-10 22:00:00;2023-02-10 22:00:00;1;1968.42
01-2023-02-11 08:00:00;2023-02-11 08:00:00;1;1008.89
01-2023-02-11 13:00:00;2023-02-11 13:00:00;1;2295.72
01-2023-02-11 18:00:00;2023-02-11 18:00:00;1;2068.13
01-2023-02-12 03:00:00;2023-02-12 03:00:00;1;1256.08
01-2023-02-12 23:00:00;2023-02-12 23:00:00;1;1109.95
01-2023-02-13 14:00:00;2023-02-13 14:00:00;1;1677.71
01-2023-02-13 18:00:00;2023-02-13 18:00:00;1;2246.21
01-2023-02-14 09:00:00;2023-02-14 09:00:00;1;2444.87
01-2023-02-14 12:00:00;2023-02-14 12:00:00;1;2367.47
01-2023-02-14 19:00:00;2023-02-14 19:00:00;1;2464.99
01-2023-02-14 21:00:00;2023-02-14 21:00:00;1;2019.19
01-2023-02-15 16:00:00;2023-02-15 16:00:00;1;2297.12
01-2023-02-15 18:00:00;2023-02-15 18:00:00;1;2417.38
01-2023-02-16 14:00:00;2023-02-16 14:00:00;1;2518.73
01-2023-02-16 17:00:00;2023-02-16 17:00:00;1;2385.72
01-2023-02-16 23:00:00;2023-02-16 23:00:00;1;1434.45
01-2023-02-17 01:00:00;2023-02-17 01:00:00;1;982.7
01-2023-02-17 14:00:00;2023-02-17 14:00:00;1;2652.38
01-2023-02-18 00:00:00;2023-02-18 00:00:00;1;1649.74
01-2023-02-18 12:00:00;2023-02-18 12:00:00;1;2093.71
01-2023-02-18 15:00:00;2023-02-18 15:00:00;1;1931.78
01-2023-02-18 23:00:00;2023-02-18 23:00:00;1;1789.43
01-2023-02-19 00:00:00;2023-02-19 00:00:00;1;1779.91
01-2023-02-19 15:00:00;2023-02-19 15:00:00;1;1631.47
01-2023-02-19 20:00:00;2023-02-19 20:00:00;1;1871.77
01-2023-02-19 22:00:00;2023-02-19 22:00:00;1;1431.87
01-2023-02-20 03:00:00;2023-02-20 03:00:00;1;415.75
01-2023-02-20 11:00:00;2023-02-20 11:00:00;1;2328.36
01-2023-02-20 13:00:00;2023-02-20 13:00:00;1;2322.03
01-2023-02-20 16:00:00;2023-02-20 16:00:00;1;2197.1
01-2023-02-20 18:00:00;2023-02-20 18:00:00;1;2377.76
01-2023-02-21 16:00:00;2023-02-21 16:00:00;1;2279.86
01-2023-02-21 18:00:00;2023-02-21 18:00:00;1;2433.44
01-2023-02-21 21:00:00;2023-02-21 21:00:00;1;1790.99
01-2023-02-22 06:00:00;2023-02-22 06:00:00;1;779.52
01-2023-02-22 10:00:00;2023-02-22 10:00:00;1;2346.44
01-2023-02-22 16:00:00;2023-02-22 16:00:00;1;2301.74
01-2023-02-22 19:00:00;2023-02-22 19:00:00;1;2480.72
01-2023-02-24 01:00:00;2023-02-24 01:00:00;1;984.84
01-2023-02-24 06:00:00;2023-02-24 06:00:00;1;833.11
01-2023-02-24 07:00:00;2023-02-24 07:00:00;1;1805.39
01-2023-02-24 11:00:00;2023-02-24 11:00:00;1;2430.14
01-2023-02-24 17:00:00;2023-02-24 17:00:00;1;2324.19
01-2023-02-24 20:00:00;2023-02-24 20:00:00;1;2423.32
01-2023-02-25 00:00:00;2023-02-25 00:00:00;1;1646.82
01-2023-02-25 01:00:00;2023-02-25 01:00:00;1;1567.84
01-2023-02-25 05:00:00;2023-02-25 05:00:00;1;885.35
01-2023-02-25 11:00:00;2023-02-25 11:00:00;1;1961.0
01-2023-02-25 18:00:00;2023-02-25 18:00:00;1;2017.13
01-2023-02-25 22:00:00;2023-02-25 22:00:00;1;2021.95
01-2023-02-25 23:00:00;2023-02-25 23:00:00;1;1792.33
01-2023-02-26 11:00:00;2023-02-26 11:00:00;1;1671.08
